Add Selected Items,افزودن کالاهای انتخاب‌شده,
Cargo Items,کالاهای محموله,
Fetch PO Items,دریافت کالاهای سفارش خرید,
Item,کالا,
Item Code,کد کالا,
Item Description,شرح کالا,
Item Group,گروه کالا,
Item Name,نام کالا,
Item Price,قیمت کالا,
Items,کالاها,
Purchase Order Item,کالای سفارش خرید,
Sales Order Item,کالای سفارش فروش,
SP Cargo Item,کالای محموله (SP),
{0} {1} does not match the Purchase Order ({2}).,{0} {1} با سفارش خرید ({2}) مطابقت ندارد.,
{0} cannot be negative.,{0} نمی‌تواند منفی باشد.,
{0} is not a supported master import doctype.,{0} یک نوع سند پشتیبانی‌شده برای درون‌ریزی داده‌های پایه نیست.,
{0}: field '{1}' is outside the import scope ({2}).,{0}: فیلد «{1}» خارج از محدودهٔ درون‌ریزی ({2}) است.,
\n,\n,
A submitted Cargo cannot be cancelled.,محمولهٔ ثبت‌شده را نمی‌توان لغو کرد.,
Actual Arrival,ورود واقعی,
Actual Arrival Date,تاریخ ورود واقعی,
Actual Qty,مقدار واقعی,
Amended From,اصلاح‌شده از,
Amount,مبلغ,
Booking / BL / AWB No.,شماره بوکینگ / بارنامه دریایی (BL) / بارنامه هوایی (AWB),
Cargo,محموله,
Cargo Progress,پیشرفت محموله,
Carrier / Shipping Line,حمل‌کننده / خط کشتیرانی,
Carton Height (cm),ارتفاع کارتن (سانتی‌متر),
Carton Length (cm),طول کارتن (سانتی‌متر),
Carton Qty per Stock UOM,تعداد کارتن به ازای واحد اندازه‌گیری انبار,
Carton Qty per Stock UOM must be at least 1 when provided.,در صورت وارد کردن، تعداد کارتن به ازای واحد اندازه‌گیری انبار باید حداقل ۱ باشد.,
Carton Width (cm),عرض کارتن (سانتی‌متر),
Cash Payment Overview,نمای کلی پرداخت نقدی,
CBM per Stock UOM,حجم (متر مکعب) به ازای واحد اندازه‌گیری انبار,
Company,شرکت,
Container Number,شماره کانتینر,
Customer,مشتری,
Customer Demand / Committed,تقاضای مشتری / تعهدشده,
Estimated Date of Arrival,تاریخ تخمینی ورود,
Estimated Date of Departure,تاریخ تخمینی خروج,
ETA,زمان تخمینی ورود (ETA),
ETD,زمان تخمینی خروج (ETD),
Fetch Packing Data from Items,دریافت اطلاعات بسته‌بندی از کالاها,
From Date,از تاریخ,
Gross Weight per Stock UOM,وزن ناخالص به ازای واحد اندازه‌گیری انبار,
Import Scope Violation,نقض محدودهٔ درون‌ریزی,
In Transit,در حال حمل,
In Transit Qty,مقدار در حال حمل,
In-Transit Qty,مقدار در حال حمل,
In-Transit Shipments,محموله‌های در حال حمل,
Include Closed,شامل موارد بسته‌شده,
Include Closed Cargoes,شامل محموله‌های بسته‌شده,
Include Disabled Items,شامل کالاهای غیرفعال,
Incoming Purchase Qty,مقدار خرید در راه,
Inventory Position,وضعیت موجودی انبار,
Items With Incoming Supply,کالاهای دارای تأمین در راه,
Mode of Payment,روش پرداخت,
Model,مدل,
Net Weight per Stock UOM,وزن خالص به ازای واحد اندازه‌گیری انبار,
No permission for account,عدم دسترسی به حساب,
No selectable Purchase Order Items were found for this Purchase Order.,هیچ کالای قابل‌انتخابی برای این سفارش خرید یافت نشد.,
On Hand,موجود در انبار,
Ordered Qty,مقدار سفارش‌داده‌شده,
Outstanding Amount,مبلغ معوقه,
Packing Totals,جمع بسته‌بندی,
Paid Amount,مبلغ پرداخت‌شده,
Party,طرف حساب,
Party Type,نوع طرف حساب,
Party Type is mandatory,نوع طرف حساب اجباری است,
Payment Entry,سند پرداخت/دریافت,
Payment Type,نوع پرداخت,
Planned Qty (Work Order),مقدار برنامه‌ریزی‌شده (دستور تولید),
Please select a Company,لطفاً یک شرکت انتخاب کنید,
Port of Discharge / Destination,بندر تخلیه / مقصد,
Port of Loading / Origin,بندر بارگیری / مبدأ,
Posting Date,تاریخ ثبت,
Projected / Net Qty,مقدار پیش‌بینی‌شده / خالص,
Projected Qty,مقدار پیش‌بینی‌شده,
protected/derived,محافظت‌شده/مشتق‌شده,
Purchase Invoice,فاکتور خرید,
Purchase Order,سفارش خرید,
Purchase Order {0} does not exist.,سفارش خرید {0} وجود ندارد.,
Purchase Order {0} must be submitted before it can be attached to a Cargo.,سفارش خرید {0} باید پیش از پیوست به محموله ثبت نهایی شود.,
Purchase Order is mandatory.,سفارش خرید اجباری است.,
Purchase Performance,عملکرد خرید,
Purchase Reference,مرجع خرید,
Qty,مقدار,
Receivables Payables Overview,نمای کلی دریافتنی‌ها و پرداختنی‌ها,
Received,دریافت‌شده,
Received Amount,مبلغ دریافتی,
Received Qty,مقدار دریافت‌شده,
Remaining Unshipped,باقی‌ماندهٔ ارسال‌نشده,
Remaining Unshipped Qty,مقدار باقی‌ماندهٔ ارسال‌نشده,
Remarks,ملاحظات,
Reorder Level,سطح سفارش مجدد,
Requested Qty (MR),مقدار درخواستی (درخواست کالا),
Reserved for Production,رزروشده برای تولید,
Row #{0}: Item {1} does not belong to Purchase Order Item {2}.,ردیف #{0}: کالای {1} متعلق به ردیف کالای {2} در سفارش خرید نیست.,
Row #{0}: Over-shipment on {1}. Ordered {2}; {3} already shipped by other Cargoes; ,ردیف #{0}: ارسال بیش از حد برای {1}. سفارش‌داده‌شده {2}؛ {3} قبلاً توسط سایر محموله‌ها ارسال شده است؛,
Row #{0}: Purchase Order Item {1} appears more than once in the same Cargo.,ردیف #{0}: کالای سفارش خرید {1} بیش از یک‌بار در همین محموله تکرار شده است.,
Row #{0}: Purchase Order Item {1} does not belong to Purchase Order {2}.,ردیف #{0}: کالای سفارش خرید {1} متعلق به سفارش خرید {2} نیست.,
Row #{0}: Shipped Qty must be greater than zero.,ردیف #{0}: مقدار ارسال‌شده باید بزرگ‌تر از صفر باشد.,
Sales Invoice,فاکتور فروش,
Sales Performance,عملکرد فروش,
Select,انتخاب,
Series,شماره‌گذاری (سری),
Shipped Qty,مقدار ارسال‌شده,
Shortage Only,فقط کسری,
Shortage Qty,مقدار کسری,
Smart Process Master Data,داده‌های پایه SmartProcess,
smart_process_erpnext requires ERPNext major version {0}.,smart_process_erpnext به نسخهٔ اصلی {0} از ERPNext نیاز دارد.,
SP Cargo,محموله (SP),
Status,وضعیت,
Stock UOM,واحد اندازه‌گیری انبار,
Suggested Reorder Qty,مقدار پیشنهادی سفارش مجدد,
Supplier,تأمین‌کننده,
Supply Planning,برنامه‌ریزی تأمین,
The Cargo must have at least one Cargo Item.,محموله باید حداقل یک کالا داشته باشد.,
To Date,تا تاریخ,
Total Gross Weight,وزن ناخالص کل,
Total Net Weight,وزن خالص کل,
Total Packages,تعداد کل بسته‌ها,
Total Shipped,مجموع ارسال‌شده,
Total Volume (CBM),حجم کل (متر مکعب),
Transport & Route,حمل‌ونقل و مسیر,
Transport Mode,روش حمل‌ونقل,
unknown,نامشخص,
Warehouse,انبار,
_Test Report 1,گزارش آزمایشی ۱,
About Us Settings,تنظیمات دربارهٔ ما,
Access Log,گزارش دسترسی,
Account,حساب,
Account Balance,مانده حساب,
Account Category,دسته‌بندی حساب,
Accounting,حسابداری,
Accounting Dimension,بُعد حسابداری,
Accounting Masters,اطلاعات پایهٔ حسابداری,
Accounting Period,دورهٔ حسابداری,
Accounts,حساب‌ها,
Accounts Payable,حساب‌های پرداختنی,
Accounts Payable Summary,خلاصهٔ حساب‌های پرداختنی,
Accounts Receivable,حساب‌های دریافتنی,
Accounts Receivable Summary,خلاصهٔ حساب‌های دریافتنی,
Accounts Settings,تنظیمات حساب‌ها,
Accounts Setup,راه‌اندازی حساب‌ها,
Active Subcontracted Items,کالاهای پیمانکاری فرعی فعال,
Activity Cost,هزینهٔ فعالیت,
Activity Log,گزارش فعالیت,
Activity Type,نوع فعالیت,
Add Total Row,افزودن ردیف جمع,
Add Translate Data,افزودن داده‌های ترجمه,
Address,نشانی,
Address And Contacts,نشانی و اطلاعات تماس,
Addresses And Contacts,نشانی‌ها و اطلاعات تماس,
AP Summary,خلاصهٔ حساب‌های پرداختنی,
API Request Log,گزارش درخواست API,
App,برنامه,
Appointment,قرار ملاقات,
Appointment Booking Settings,تنظیمات رزرو قرار ملاقات,
AR Summary,خلاصهٔ حساب‌های دریافتنی,
Asset,دارایی,
Asset Activity,فعالیت دارایی,
